Species_ID,Family,Scientific_Name,Common_Name,Species_Code,Source,TE_Status,Habitat,BNA_Account,TSN
20200813140240-664291858.673096,,,Unidentified Bird,UNBI,,,,N/A,
20200813140240-990674972.53418,,,No bird detected at station,NOBI,,,,N/A,
20200813140240-8572578.43017578,Accipritidae,Accipiter soloensis,Chinese Sparrowhawk,CHIS,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Forest Bird,N/A,175342
20200813140240-183178067.207336,Accipritidae,Aquila chrysaetos,Golden Eagle,GOEA,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,684,175407
20200813140240-253237068.653107,Accipritidae,Buteo lagopus,Rough-legged Buzzard,RLBU,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,641,175373
20200813140240-303595900.535583,Accipritidae,Buteo solitarius,Io,HAWH,American Ornithologists' Union. 1983. Check-list of North American Birds. 7th edition [1998].,,Forest Bird,523,175394
20200813140240-571528732.776642,Accipritidae,Circus hudsonius,Northern Harrier,NOHA,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,210,175430
20200813140240-238475561.141968,Accipritidae,Haliaeetus pelagicus,Steller's Sea-Eagle,STSE,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,N/A,175423
20200813140240-271086990.833282,Accipritidae,Milvus migrans,Black Kite,BLAK,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,N/A,175469
20200813140240-253927826.881409,Accipritidae,Pandion haliaetus,Western Osprey,OSPR,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,683,175590
20200813140240-340357959.270477,Alaudidae,Alauda arvensis,Eurasian Skylark,EUSK,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,286,178398
20200813140240-235228896.141052,Alcedinidae,Megaceryle alcyon,Belted Kingfisher,BEKI,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,84,178119
20200813140240-629834711.551666,Alcedinidae,Todiramphus sacer,Pacific Kingfisher,PAKI,"Gill, F & D Donsker (Eds). 2019. IOC World Bird List (v9.1). doi 10.14344/IOC.ML.9.1 [Accessed 1 March 2019]",,Forest/ Urban Bird,N/A,
20200813140240-467456102.371216,Alcidae,Aethia psittacula,Parakeet auklet,PAAU,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,594,554029
20200813140240-284541547.298431,Alcidae,Fratercula cirrhata,Tufted Puffin,TUPU,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,708,177032
20200813140240-595467388.629913,Alcidae,Fratercula corniculata,Horned Puffin,HOPU,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,603,177029
20200813140240-32139003.276825,Alcidae,Ptychoramphus aleuticus,Cassin's Auklet,CAAU,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,50,177013
20200813140240-507382810.115814,Anatidae,Anas acuta,Northern Pintail,NOPI,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Waterfowl,163,175074
20200813140240-163373708.724976,Anatidae,Anas carolinensis,Green-winged Teal,GWTE,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Waterfowl,193,175081
20200813140240-144606828.689575,Anatidae,Anas laysanensis,Laysan Duck,LAYD,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Wetland Bird,242,175119
20200813140240-937924563.884735,Anatidae,Anas platyrhynchos,Mallard,MALL,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Waterfowl,658,175063
20230602160846-709037899.971008,Anatidae,Anas superciliosa,Pacific Black Duck,PBDU,,,Marine Bird,,
20200813140240-876381456.851959,Anatidae,Anas wyvilliana,Hawaiian Duck,HAWD,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Wetland Bird,694,175120
20200813140240-354580998.420715,Anatidae,Anser albifrons,Greater White-fronted Goose,GWFG,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,131,175020
20200813140240-279563188.552856,Anatidae,Anser caerulescens,Snow Goose,SNGO,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,514,175038
20200813140240-822227001.190186,Anatidae,Anser canagicus,Emperor Goose,EMGO,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,97,175042
20200813140240-124271035.194397,Anatidae,Aythya affinis,Lesser Scaup,LESC,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Waterfowl,338,175134
20200813140240-210000932.216644,Anatidae,Aythya americana,Redhead,REDH,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Waterfowl,695,175125
20200813140240-921727418.899536,Anatidae,Aythya collaris,Ring-necked Duck,RNDU,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Waterfowl,329,175128
20200813140240-551584839.820862,Anatidae,Aythya ferina,Common Pochard,COMP,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Waterfowl,N/A,175126
20200813140240-713333368.301392,Anatidae,Aythya fuligula,Tufted Duck,TUDU,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Waterfowl,N/A,175135
20200813140240-655816316.604614,Anatidae,Aythya marila,Greater Scaup,GRSC,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Waterfowl,650,175130
20200813140240-311445116.996765,Anatidae,Aythya valisineria,Canvasback,CANV,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Waterfowl,659,175129
20200813140240-162122964.859009,Anatidae,Branta bernicla,Black Brant,BLBR,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,337,175011
20200813140240-690717041.492462,Anatidae,Branta canadensis,Canada Goose,CANG,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,682,174999
20200813140240-563806712.627411,Anatidae,Branta sandvicensis,Hawaiian Goose,HAGO,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",T,Open Country Bird,434,175016
20200813140240-627471685.409546,Anatidae,Bucephala albeola,Bufflehead,BUFF,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Waterfowl,67,175145
20200813140240-70595920.085907,Anatidae,Bucephala clangula,Common Goldeneye,COGO,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Waterfowl,170,175141
20200813140240-448462545.871735,Anatidae,Clangula hyemalis,Long-tailed Duck,LTDU,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Waterfowl,651,175147
20200813140240-65240740.776062,Anatidae,Cygnus columbianus,Tundra Swan,TUSW,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,89,174987
20200813140240-665515899.658203,Anatidae,Dendrocygna bicolor,Fulvous Whistling-Duck,FUWD,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Wetland Bird,562,175046
20200813140240-442363619.804382,Anatidae,Histrionicus histrionicus,Harlequin Duck,HADU,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Waterfowl,466,175149
20200813140240-919221043.586731,Anatidae,Lophodytes cucullatus,Hooded Merganser,HOME,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Waterfowl,98,175183
20200813140240-481337189.674377,Anatidae,Mareca americana,American Wigeon,AMWI,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Waterfowl,401,175094
20200813140240-284174740.314484,Anatidae,Mareca penelope,Eurasian Wigeon,EUWI,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Waterfowl,N/A,175092
20200813140240-318374812.602997,Anatidae,Mareca strepera,Gadwall,GADW,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Waterfowl,283,175073
20200813140240-854553878.307343,Anatidae,Melanitta americana,Black Scoter,BLSC,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Waterfowl,177,175171
20200813140240-144168853.759766,Anatidae,Melanitta perspicillata,Surf Scoter,SUSC,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Waterfowl,363,175170
20200813140240-763474106.788635,Anatidae,Mergus merganser,Common Merganser,COME,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Waterfowl,442,175185
20200813140240-108959674.835205,Anatidae,Mergus serrator,Red-breasted Merganser,RBME,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Waterfowl,443,175187
20200813140240-226408898.830414,Anatidae,Oxyura jamaicensis,Ruddy Duck,RUDU,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Waterfowl,705,175175
20200813140240-242420077.323914,Anatidae,Spatula clypeata,Northern Shoveler,NSHO,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Waterfowl,217,175096
20200813140240-549597144.126892,Anatidae,Spatula cyanoptera,Cinnamon Teal,CITE,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Waterfowl,209,175089
20200813140240-43479919.4335938,Anatidae,Spatula discors,Blue-winged Teal,BWTE,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Waterfowl,625,175086
20200813140240-9026825.42800903,Anatidae,Spatula querquedula,Garganey,GARG,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Waterfowl,N/A,175093
20200813140240-190780341.625214,Apodidae,Aerodramus bartschi,Mariana Swiftlet,MASW,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Widespread/Urban Bird,N/A,554964
20200813140240-959411323.070526,Apodidae,Aerodramus spodiopygius,White-rumped Swiftlet,WRSW,,,Forest Bird,N/A,
20200813140240-380131781.101227,Ardeidae,Ardea alba,Great Egret,GREG,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Wetland Bird,570,554135
20200813140240-129944086.074829,Ardeidae,Ardea herodias,Great Blue Heron,GBHE,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Wetland Bird,25,174773
20200813140240-358337044.715881,Ardeidae,Bubulcus ibis,Western Cattle Egret,CAEG,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Wetland Bird,113,174803
20200813140240-671124100.68512,Ardeidae,Butorides virescens,Green Heron,GRHE,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Wetland Bird,129,174793
20200813140240-248544096.946716,Ardeidae,Egretta caerulea,Little Blue Heron,LBHE,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Wetland Bird,145,174827
20200813140240-967085242.271423,Ardeidae,Egretta sacra,Pacific Reef Heron,REHE,,,Shorebird,,
20200813140240-486172020.435333,Ardeidae,Egretta thula,Snowy Egret,SNEG,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Wetland Bird,489,174813
20200813140240-158705651.760101,Ardeidae,Nycticorax nycticorax,Black-crowned Night-Heron,BCNH,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",SC,Wetland Bird,74,174832
20200813140240-772078394.889832,Caprimulgidae,Chordeiles minor,Common Nighthawk,CONI,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,213,177979
20200813140240-837038218.975067,Cardinalidae,Cardinalis cardinalis,Northern Cardinal,NOCA,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Widespread/Urban Bird,440,179124
20200813140240-966681718.826294,Charadriidae,Charadrius hiaticula,Common Ringed Plover,CRPL,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Shorebird,N/A,176504
20200813140240-777806401.252747,Charadriidae,Charadrius mongolus,Lesser Sand Plover,LSAP,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Shorebird,N/A,176514
20200813140240-729365468.025208,Charadriidae,Charadrius morinellus,Eurasian Dotterel,EUDO,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Shorebird,N/A,176545
20200813140240-28034150.6004333,Charadriidae,Charadrius semipalmatus,Semipalmated Plover,SEPL,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Shorebird,444,176506
20200813140240-164538443.088531,Charadriidae,Charadrius vociferus,Killdeer,KILL,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Shorebird,517,176520
20200813140240-228228032.588959,Charadriidae,Pluvialis fulva,Pacific Golden Plover,PAGP,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Shorebird,201-202,554381
20200813140240-311926186.084747,Charadriidae,Pluvialis squatarola,Grey Plover,GRPL,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Shorebird,186,176567
20200813140240-615529000.759125,Colombidae,Ducula pacifica,Pacific Imperial Pigeon,PIPI,,,Forest Bird,,
20200813140240-641866207.122803,Columbidae,Columba livia,Rock Dove,RODO,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Widespread/Urban Bird,13,177071
20200813140240-676675975.322723,Columbidae,Geopelia striata,Zebra Dove,ZEBD,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Widespread/Urban Bird,N/A,177196
20200813140240-273040950.298309,Columbidae,Pampusana stairi,Tongan Ground Dove,TGDO,"Gill, F & D Donsker (Eds). 2019. IOC World Bird List (v9.1). doi 10.14344/IOC.ML.9.1 [Accessed 1 March 2019]",E,Forest Bird,,
20200813140240-644020497.79892,Columbidae,Ptilinopus perousii,Many-colored Fruit Dove,MCFD,,,Forest Bird,N/A,
20200813140240-400894284.248352,Columbidae,Ptilinopus porphyraceus,Crimson-crowned Fruit Dove,CCFD,,,Forest Bird,N/A,
20200813140240-641774833.202362,Columbidae,Spilopelia chinensis,Spotted Dove,SPDO,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Widespread/Urban Bird,586,177134
20200813140240-604392707.34787,Columbidae,Zenaida macroura,Mourning Dove,MODO,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Widespread/Urban Bird,117,177125
20200813140240-149983108.043671,Corvidae,Corvus hawaiiensis,Alala,HCRO,American Ornithologists' Union. 1983. Check-list of North American Birds. 7th edition [1998].,E,Forest Bird,648,179742
20200813140240-102923750.87738,Cuculidae,Coccyzus americanus,Yellow-billed Cuckoo,YBCU,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,418,177831
20200813140240-528382301.330566,Cuculidae,Cuculus canorus,Common Cuckoo,COCU,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,N/A,177822
20200813140240-616519987.58316,Cuculidae,Urodynamis taitensis,Pacific Long-tailed Cuckoo,PLTC,"Gill, F & D Donsker (Eds). 2019. IOC World Bird List (v9.1). doi 10.14344/IOC.ML.9.1 [Accessed 1 March 2019]",,Forest Bird,,
20200813140240-228157937.526703,Diomedeidae,Phoebastria albatrus,Short-tailed Albatross,STAL,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,N/A,554377
20200813140240-640410900.115967,Diomedeidae,Phoebastria immutabilis,Laysan Albatross,LAAL,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,66,554378
20200813140240-40266096.5919495,Diomedeidae,Phoebastria nigripes,Black-footed Albatross,BFAL,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,65,554379
20200813140240-527026116.847992,Emberizidae,Paroaria capitata,Yellow-billed Cardinal,YBCA,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Widespread/Urban Bird,N/A,179553
20200813140240-280662655.830383,Emberizidae,Paroaria coronata,Red-crested Cardinal,RCCA,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Widespread/Urban Bird,N/A,179554
20200813140240-659452915.19165,Emberizidae,Passerculus sandwichensis,Savannah Sparrow,SAVS,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,45,179314
20200813140240-596766114.234924,Emberizidae,Plectrophenax nivalis,Snow Bunting,SNBU,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,N/A,179532
20200813140240-720504105.091095,Emberizidae,Sicalis flaveola,Saffron Finch,SAFI,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Widespread/Urban Bird,N/A,179556
20200813140240-275899887.084961,Emberizidae,Tiaris olivaceus,Yellow-faced Grassquit,YFGR,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Widespread/Urban Bird,N/A,179163
20200813140240-496155500.411987,Estrildidae,Amandava amandava,Red Avadavat,REAV,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Widespread/Urban Bird,N/A,179606
20200813140240-213528871.536255,Estrildidae,Estrilda astrild,Common Waxbill,COMW,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Widespread/Urban Bird,N/A,179610
20200813140240-385626971.721649,Estrildidae,Estrilda melpoda,Orange-cheeked Waxbill,OCHW,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Widespread/Urban Bird,N/A,179612
20200813140240-490782856.941223,Estrildidae,Estrilda troglodytes,Black-rumped Waxbill,BLRW,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Widespread/Urban Bird,N/A,179613
20200813140240-232759296.894073,Estrildidae,Euodice cantans,African Silverbill,AFSI,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Widespread/Urban Bird,N/A,179617
20200813140240-977298498.153687,Estrildidae,Glaucestrilda caerulescens,Lavender Waxbill,LAVW,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Widespread/Urban Bird,N/A,179611
20200813140240-305721104.14505,Estrildidae,Lonchura atricapilla,Chestnut Munia,CHMU,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Widespread/Urban Bird,N/A,
20200813140240-816770374.774933,Estrildidae,Lonchura punctulata,Scaly-breasted Munia,SBMU,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Widespread/Urban Bird,N/A,179619
20200813140240-169404625.892639,Estrildidae,Padda oryzivora,Java Sparrow,JASP,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Widespread/Urban Bird,304,179621
20200813140240-174228489.398956,Estrildidae,Uraeginthus bengalus,Red-cheeked Cordonbleu,RCCO,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Widespread/Urban Bird,N/A,179623
20200813140240-4258632.65991211,Falconidae,Falco columbarius,Merlin,MERL,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,44,175613
20200813140240-172629177.570343,Falconidae,Falco peregrinus,Peregrine Falcon,PEFA,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,660,175604
20200813140240-582576751.708984,Fregatidae,Fregata ariel,Lesser Frigatebird,LEFR,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,N/A,174769
20200813140240-532368838.787079,Fregatidae,Fregata minor palmerstoni,Great Frigatebird,GREF,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,681,
20200813140240-494415640.830994,Fringillidae (Carduelinae subfamily),Acanthis flammea,Common Redpoll,CORE,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,543,179230
20200813140240-519212782.382965,Fringillidae (Carduelinae subfamily),Crithagra mozambica,Yellow-fronted Canary,YFCA,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna;  Gill, F and D Donsker (Eds). 2016. IOC World Bird List (v 6.3)",,Widespread/Urban Bird,N/A,179559
20200813140240-871533870.697021,Fringillidae (Carduelinae subfamily),Haemorhous mexicanus,House Finch,HOFI,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna;  Gill, F and D Donsker (Eds). 2016. IOC World Bird List (v 6.3)",,Widespread/Urban Bird,46,179191
20200813140240-307122290.13443,Fringillidae (Carduelinae subfamily),Serinus canaria,Atlantic Canary,ATCA,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Widespread/Urban Bird,N/A,179558
20200813140240-427671968.93692,Fringillidae (Drepanidinae subfamily Drepanidini tribe),Ciridops anna,Ulaaihawane,ULAA,American Ornithologists' Union. 1983. Check-list of North American Birds. 7th edition [1998].,,Forest Bird,640,179563
